Sigma_gas,Sigma_star,H_star,Omega,qshear,Z_gas,Z_dust,xi_CR_amp,suffix,anchor_row,anchor_suffix,sweep_param,level,f_dtm
5.613834348747306,8.492339927570653,260.3437016869694,27.22211545432308,0.7810995407148102,0.1,0.1,1.0,a0019_Z0p10,19,row0019,Z_gas,0.1,1.0
5.613834348747306,8.492339927570653,260.3437016869694,27.22211545432308,0.7810995407148102,0.22,0.22,1.0,a0019_Z0p22,19,row0019,Z_gas,0.22,1.0
5.613834348747306,8.492339927570653,260.3437016869694,27.22211545432308,0.7810995407148102,0.46,0.46,1.0,a0019_Z0p46,19,row0019,Z_gas,0.46,1.0
5.613834348747306,8.492339927570653,260.3437016869694,27.22211545432308,0.7810995407148102,1.0,0.1,1.0,a0019_fd0p10,19,row0019,f_dtm,0.1,0.1
5.613834348747306,8.492339927570653,260.3437016869694,27.22211545432308,0.7810995407148102,1.0,0.22,1.0,a0019_fd0p22,19,row0019,f_dtm,0.22,0.22
5.613834348747306,8.492339927570653,260.3437016869694,27.22211545432308,0.7810995407148102,1.0,0.46,1.0,a0019_fd0p46,19,row0019,f_dtm,0.46,0.46
5.613834348747306,8.492339927570653,260.3437016869694,27.22211545432308,0.7810995407148102,1.0,1.0,0.1,a0019_cr0p10,19,row0019,xi_CR_amp,0.1,1.0
5.613834348747306,8.492339927570653,260.3437016869694,27.22211545432308,0.7810995407148102,1.0,1.0,0.22,a0019_cr0p22,19,row0019,xi_CR_amp,0.22,1.0
5.613834348747306,8.492339927570653,260.3437016869694,27.22211545432308,0.7810995407148102,1.0,1.0,0.46,a0019_cr0p46,19,row0019,xi_CR_amp,0.46,1.0
13.369878574323364,71.15495303201554,232.02623277196489,11.922295174264017,0.9840911228673236,0.1,0.1,1.0,a0022_Z0p10,22,row0022,Z_gas,0.1,1.0
13.369878574323364,71.15495303201554,232.02623277196489,11.922295174264017,0.9840911228673236,0.22,0.22,1.0,a0022_Z0p22,22,row0022,Z_gas,0.22,1.0
13.369878574323364,71.15495303201554,232.02623277196489,11.922295174264017,0.9840911228673236,0.46,0.46,1.0,a0022_Z0p46,22,row0022,Z_gas,0.46,1.0
13.369878574323364,71.15495303201554,232.02623277196489,11.922295174264017,0.9840911228673236,1.0,0.1,1.0,a0022_fd0p10,22,row0022,f_dtm,0.1,0.1
13.369878574323364,71.15495303201554,232.02623277196489,11.922295174264017,0.9840911228673236,1.0,0.22,1.0,a0022_fd0p22,22,row0022,f_dtm,0.22,0.22
13.369878574323364,71.15495303201554,232.02623277196489,11.922295174264017,0.9840911228673236,1.0,0.46,1.0,a0022_fd0p46,22,row0022,f_dtm,0.46,0.46
13.369878574323364,71.15495303201554,232.02623277196489,11.922295174264017,0.9840911228673236,1.0,1.0,0.1,a0022_cr0p10,22,row0022,xi_CR_amp,0.1,1.0
13.369878574323364,71.15495303201554,232.02623277196489,11.922295174264017,0.9840911228673236,1.0,1.0,0.22,a0022_cr0p22,22,row0022,xi_CR_amp,0.22,1.0
13.369878574323364,71.15495303201554,232.02623277196489,11.922295174264017,0.9840911228673236,1.0,1.0,0.46,a0022_cr0p46,22,row0022,xi_CR_amp,0.46,1.0
16.144319432352056,784.9979560712849,608.161361850468,69.7487080907033,1.0771901964559285,0.1,0.1,1.0,a0018_Z0p10,18,row0018,Z_gas,0.1,1.0
16.144319432352056,784.9979560712849,608.161361850468,69.7487080907033,1.0771901964559285,0.22,0.22,1.0,a0018_Z0p22,18,row0018,Z_gas,0.22,1.0
16.144319432352056,784.9979560712849,608.161361850468,69.7487080907033,1.0771901964559285,0.46,0.46,1.0,a0018_Z0p46,18,row0018,Z_gas,0.46,1.0
16.144319432352056,784.9979560712849,608.161361850468,69.7487080907033,1.0771901964559285,1.0,0.1,1.0,a0018_fd0p10,18,row0018,f_dtm,0.1,0.1
16.144319432352056,784.9979560712849,608.161361850468,69.7487080907033,1.0771901964559285,1.0,0.22,1.0,a0018_fd0p22,18,row0018,f_dtm,0.22,0.22
16.144319432352056,784.9979560712849,608.161361850468,69.7487080907033,1.0771901964559285,1.0,0.46,1.0,a0018_fd0p46,18,row0018,f_dtm,0.46,0.46
16.144319432352056,784.9979560712849,608.161361850468,69.7487080907033,1.0771901964559285,1.0,1.0,0.1,a0018_cr0p10,18,row0018,xi_CR_amp,0.1,1.0
16.144319432352056,784.9979560712849,608.161361850468,69.7487080907033,1.0771901964559285,1.0,1.0,0.22,a0018_cr0p22,18,row0018,xi_CR_amp,0.22,1.0
16.144319432352056,784.9979560712849,608.161361850468,69.7487080907033,1.0771901964559285,1.0,1.0,0.46,a0018_cr0p46,18,row0018,xi_CR_amp,0.46,1.0
