Sigma_gas,Sigma_star,H_star,Omega,qshear,suffix
11.019225866556646,148.4237073916841,556.4260934376817,17.942984648139266,0.8072228693195826,row0000
14.210607043806249,33.2940874853588,199.6900588294877,31.61030767717373,1.0916007526934433,row0001
17.169379018577963,87.8684080685211,426.6622224756906,25.68926731114204,0.9561572902209408,row0002
7.0316764506531175,56.57314123000759,323.26919644911,41.77538708498443,0.5145108412299476,row0003
8.727194609621208,102.73542134371516,285.60887912301786,77.680426884308,0.7551147734132747,row0004
21.612078803056356,48.32812708062455,830.6625232241659,26.911841618012563,0.9609987765981424,row0005
12.521645759955124,210.15345731848177,343.97201341787985,35.464008707792004,1.124338826233279,row0006
9.594698304806537,23.870649255006477,464.52260398897073,22.322204967015427,0.8829268443058796,row0007
9.759137623814668,77.44495625862531,369.5877965052172,28.841409619378545,1.0425246434385025,row0008
12.7376880307866,62.61258352094742,499.31902738128787,55.578585262296905,0.8447095092617452,row0009
18.61685901702099,132.34620329032876,263.64834472266796,21.95629880669038,0.6569138078335071,row0010
7.581308634044823,37.52954762895417,657.9203159258611,36.21411625223953,0.9256595480155804,row0011
5.207407812086069,277.3512719843207,395.28560849152154,31.113484651080626,0.9944926716577616,row0012
15.819871452418932,19.42903888934774,300.01890545345816,18.620502174165697,0.6951437421409783,row0013
14.488176214439402,116.05615390526611,602.6507782434336,49.98041606070984,0.8497193001953943,row0014
11.162297232832358,42.22851584980662,236.5923997652735,23.904621572163222,1.233594663933431,row0015
11.6938329992719,108.74441357623208,523.0478380344464,33.451024598479144,0.4416707087263192,row0016
15.259270057259094,44.323745368304486,379.7324719806912,23.30535367760902,0.936418978470313,row0017
16.144319432352056,784.9979560712849,608.161361850468,69.7487080907033,1.0771901964559285,row0018
5.613834348747306,8.492339927570653,260.3437016869694,27.22211545432308,0.7810995407148102,row0019
7.766750463242501,136.70223984757104,307.1841173552995,25.208592305440956,0.9041538844391186,row0020
19.17676695155462,37.05819916209313,419.20015950128817,42.601143366269106,1.1394178549072251,row0021
13.369878574323364,71.15495303201554,232.02623277196489,11.922295174264017,0.9840911228673236,row0022
10.270778171679838,67.77457893040472,567.4991377033153,33.101279173320535,0.7641083554021878,row0023
9.067116788239607,222.646053441393,176.9754322212466,47.361790445264035,0.9064948012330628,row0024
11.896689587183555,23.24218465021231,533.0869907819493,24.1308057559438,0.6317204390910875,row0025
20.550020543009527,93.72189730705595,327.97657010022607,29.567285602686383,0.8215708919993252,row0026
8.550773827326061,52.69463678282162,455.0029583207866,20.007996741298243,1.032631938181784,row0027
6.803208814040548,83.05294326453225,685.616154603757,20.738452394412484,1.277143942191503,row0028
16.816341887033772,59.04159438496965,279.93897971425633,38.74336697493554,0.8729660060009106,row0029
13.509330663373406,182.064251202612,491.6919168009906,28.34749445986964,0.7087069244538515,row0030
10.517409657089528,27.646393348416424,349.8257857003411,58.040570086650824,1.02005338647732,row0031
9.793289658057589,18.33965457162708,822.4143730046686,161.92151983398338,0.9861213488306912,row0032
16.328333540515626,296.6460941418931,270.4072791520294,11.916015876595905,0.8469318817463198,row0033
13.119858349285321,57.031327968917864,575.3624396322142,40.55291849383235,0.5451443023137177,row0034
5.223098262808506,85.31135133125535,183.64223007723754,23.31549239949268,1.3308525195046832,row0035
8.519793016173722,51.014060442532994,331.5568839112201,28.828030702742236,1.027996601691536,row0036
14.098550865173161,97.41568585062619,922.1149759869655,32.38897307584205,0.750508790168234,row0037
22.958608043153628,34.813238435391895,174.94243354774306,16.953855945956064,0.8608913682483734,row0038
10.411495695396864,140.82733217218464,485.14385575594156,67.67849884544137,0.9447895437772245,row0039
11.290434053801407,69.39636282018951,90.47053126251348,31.822575002869147,0.7924980449276375,row0040
18.789240217056136,70.6293479630104,453.2251339891912,24.12454847862473,0.9984114250955605,row0041
15.272022406319163,22.37634315422289,354.36069142326016,48.40587008002361,1.1276448438121645,row0042
7.514397186545286,231.6508220713885,1966.9797158110405,16.831472333072146,0.6268298531312673,row0043
6.396829669233103,32.183210392685076,607.6221132506057,11.753498937533495,0.7310595129244297,row0044
12.484951300541217,159.15770327419298,226.90576153286298,76.33057385435671,1.1001743163942326,row0045
17.3341083540933,40.345796507126515,684.5942711085355,19.445956810279895,0.9272161239546781,row0046
9.229119826574978,120.41245643198972,254.48516156444964,39.67929242729259,0.9004868732283873,row0047
9.66787116225589,46.618358941505484,401.92086110477163,18.081977812697712,1.1801836433733728,row0048
16.717359538737874,106.71549421340139,144.7753975298885,59.20788086525024,0.1961357300587625,row0049
12.06233018069865,29.16516540615977,1072.05932177314,27.261006185363808,0.8222312536491331,row0050
6.849026300749152,169.5664060662207,387.59455044928137,34.17431531640553,0.9656000347996323,row0051
7.877947859267812,25.128679114617874,221.9801795552164,43.754231327287194,0.9504449083471621,row0052
14.746769420806924,206.4216756111974,629.3324326495239,22.09230473343511,0.8692388025837605,row0053
17.963469351629293,61.87338233814372,248.4003204541859,110.17928522259261,0.7597176310906902,row0054
11.727468154751893,78.64596527125421,711.3095723674239,13.458720168198766,1.0384289442887815,row0055
10.787977270182113,39.20562153088629,297.89377432795555,20.51947069208028,0.6472361899925811,row0056
20.837451106095422,128.03793359971533,753.2677782544861,37.48633714380774,1.1479809182100944,row0057
13.564190137162301,49.64413709224702,207.32725146826454,9.904131293673352,1.0055176437052336,row0058
8.876987396755736,97.70348564655097,528.0597712962426,88.7332347321465,0.8020607671193227,row0059
5.995147505513505,58.069952599322995,955.7495060131891,52.64571678535651,0.8786765897130483,row0060
12.634193496713271,84.52785576811823,317.5728255914046,15.767739316429225,0.9073242019424472,row0061
15.843079203663766,10.273429327550984,495.9963511123694,30.44832820314921,1.0624963551610118,row0062
10.159512284219646,490.89492444642354,164.82435576230648,25.372313129755504,0.6879761370373046,row0063
