outcome,sigma_phangs_dex,sigma_environment_dex,sigma_temporal_dex,sigma_suite_total_dex,suite_to_phangs_variance,environment_variance_fraction_of_suite,temporal_variance_fraction_of_suite,n_phangs_positive,n_models,n_time_samples
Sigma_SFR,0.27113230548841205,0.37753403785296685,0.17318435941064253,0.415361014157612,2.346869432493696,0.8261535315623415,0.17384646843765858,358,32,640082
fmol,0.26265310325739893,0.25934032108357097,0.219114184091568,0.3395120436889437,1.670880139574415,0.5834850307031455,0.4165149692968545,746,32,640082
